term_id	ontology	label	definition	synonyms	deprecated	directly_referenced	label_only
BTO:0000018	BTO	A-549 cell	Human lung carcinoma established from an explanted lung tumor which was removed from a 58-year-old Caucasian man in 1972; cells were described to induce tumors in athymic mice and to synthesize lecithin.			TRUE	FALSE
BTO:0000019	BTO	A7r5 cell	Rat embryonic thoracic aorta smooth muscle cell line. The cells exhibit an increase in activity of the enzymes myokinase and creatine phosphokinase (CPK) as the culture reaches stationary phase. Muscle type CPK is synthesized after cell division has ceased.			FALSE	FALSE
BTO:0000020	BTO	abdomen	1: The part of the body between the thorax and the pelvis; also: the cavity of this part of the trunk containing the chief viscera. 2: The posterior section of the body behind the thorax in an arthropod.			TRUE	FALSE
BTO:0000021	BTO	head muscle				FALSE	FALSE
BTO:0000022	BTO	abdominal ganglion	The visceral sacs nerve knot is called visceral ganglion. In contrary to the mostly paired other ganglia this nerve knot is unpaired. The visceral ganglion innerves the pallial organs as well as the inner organs.			FALSE	FALSE
BTO:0000023	BTO	pectoral muscle	Any of the muscles which connect the ventral walls of the chest with the bones of the upper arm and shoulder and of which there are two on each side of the human body.			FALSE	FALSE
BTO:0000024	BTO	abomasum	The fourth compartment of the ruminant stomach that follows the omasum and has a true digestive function.			FALSE	FALSE
BTO:0000025	BTO	amniotic cavity	The space within the amnion.			TRUE	FALSE
BTO:0000026	BTO	culture condition:galactose-grown cell				FALSE	FALSE
BTO:0000027	BTO	achene	A small dry indehiscent one-seeded fruit (as of a sunflower) developing from a simple ovary and usually having a thin pericarp attached to the seed at only one point.			FALSE	FALSE
BTO:0000028	BTO	pancreatic acinar cell	Cells of the pancreas that secrete digestive enzymes, the archetypal secretory cell upon which much of the early work on the sequence of events in the secretory process was done.			FALSE	FALSE
BTO:0000029	BTO	adductor longus	Adductor arising from the superior ramus of the pubis and inserted into the middle third of the linea aspera.			FALSE	FALSE
BTO:0000030	BTO	adductor	Any of three powerful triangular muscles that contribute to the adduction of the human thigh.			FALSE	FALSE
BTO:0000031	BTO	fruit peduncle	A short stalk at the base of a fruit.			FALSE	FALSE
BTO:0000032	BTO	colonic adenocarcinoma cell	A cell of an adenocarcinoma of the colon is a malignant neoplastic epithelial lesion, arising from the colonic mucosa.			FALSE	FALSE
BTO:0000033	BTO	SW-403 cell	Human colon adenocarcinoma, established from the adenocarcinoma (grade III) of a 51-year-old Caucasian woman; cells were described to produce carcinoembryonic antigen (CEA) and to be tumorigenic in nude mice.			FALSE	FALSE
BTO:0000034	BTO	apical meristem	A group of cells at the tip of the stem and root that give rise by cell division to the primary tissues and are ultimately responsible for the structural organization of the entire primary plant body.			FALSE	FALSE
BTO:0000035	BTO	colorectal adenocarcinoma cell	Adenocarcinoma cell related to the colon and/or rectum.			FALSE	FALSE
BTO:0000036	BTO	gastric adenocarcinoma cell	A cell of any of a group of common stomach cancers, usually located in the antrum; it may present as a bulky mass with central ulceration invading the wall, a mass that narrows the antral lumen, a polypoid lesion, or a tumor that spreads superficially over the mucosal surface. It is common in Japan, Chile, Iceland, and Finland but the incidence is decreasing in North America and elsewhere. There may be links to certain dietary substances such as nitrosamines and benzpyrene.			FALSE	FALSE
BTO:0000037	BTO	renal cell carcinoma cell	Carcinoma cell of the renal parenchyma usually occurring in middle age or later and composed of tubular cells in varying arrangements; symptoms depend on extent of invasion.			FALSE	FALSE
BTO:0000038	BTO	SW-480 cell	Human colon adenocarcinoma, established from the tumor of a 50-year-old Caucasian man with colon adenocarcinoma.			FALSE	FALSE
BTO:0000039	BTO	root cap	A thimble-shaped group of cells found at the tip of roots; it functions to protect the meristem.			FALSE	FALSE
BTO:0000040	BTO	adenohypophysis	The anterior glandular lobe of the pituitary gland.			FALSE	FALSE
BTO:0000041	BTO	medulla oblongata	The part of the vertebrate brain that is continuous posteriorly with the spinal cord and that contains the centers controlling involuntary vital functions.			FALSE	FALSE
BTO:0000042	BTO	animal	Any of a kingdom (Animalia) of living things including many-celled organisms and often many of the single-celled ones (as protozoans) that typically differ from plants in having cells without cellulose walls, in lacking chlorophyll and the capacity for photosynthesis, in requiring more complex food materials (as proteins), in being organized to a greater degree of complexity, and in having the capacity for spontaneous movement and rapid motor responses to stimulation.			FALSE	FALSE
BTO:0000043	BTO	cerebellar cortex	The superficial gray matter of the cerebellum. It consists of three layers, the stratum moleculare, stratum granulosum, and stratum purkinjense.			FALSE	FALSE
BTO:0000044	BTO	tear gland	An acinous gland that is about the size and shape of an almond, secretes tears, and is situated laterally and superiorly to the bulb of the eye in a shallow depression on the inner surface of the frontal bone.			FALSE	FALSE
BTO:0000045	BTO	adrenal cortex	The outer portion of the adrenal glands that produces several steroid hormones, including cortisol and aldosterone.			FALSE	FALSE
BTO:0000046	BTO	Y-1 cell	Mouse adrenal cortex tumor. Mouse, LAF1 male; Tissue: adrenal cortex; Tumor: adrenal tumor.			FALSE	FALSE
BTO:0000047	BTO	adrenal gland	Either of a pair of complex endocrine organs near the anterior medial border of the kidney consisting of a mesodermal cortex that produces glucocorticoid, mineralocorticoid, and androgenic hormones and an ectodermal medulla that produces epinephrine and norepinephrine.			TRUE	FALSE
BTO:0000048	BTO	zona glomerulosa	The outermost of the three layers of the adrenal cortex that consists of round masses of granular epithelial cells that stain deeply.			FALSE	FALSE
BTO:0000049	BTO	adrenal medulla	The inner, reddish-brown portion of the adrenal glands that synthesizes, stores, and releases epinephrine and norepinephrine.			FALSE	FALSE
BTO:0000050	BTO	zona fasciculata	The middle of the three layers of the adrenal cortex that consists of radially arranged columnar epithelial cells.			FALSE	FALSE
BTO:0000051	BTO	tendon sheath	A synovial sheath covering a tendon (as in the hand or foot).			FALSE	FALSE
BTO:0000052	BTO	stoma	The epidermal complex consisting of two guard cells and the pore between them.			FALSE	FALSE
BTO:0000053	BTO	albedo	The spongy white tissue on the inside of the rind of citrus fruit.			FALSE	FALSE
BTO:0000054	BTO	albumen gland	The posterior oviduct opens into the large white albumen gland which adds a layer of albumen to the zygote before it reaches the egg capsule gland.			FALSE	FALSE
BTO:0000055	BTO	pars recta	Proximal straight tubule: part of the descending limb of the renal tubule, extending from the proximal convoluted tubule to the thin tubule.			FALSE	FALSE
BTO:0000056	BTO	zona reticulata	The innermost of the three layers of the adrenal cortex that consists of irregularly arranged cylindrical masses of epithelial cells.			FALSE	FALSE
BTO:0000057	BTO	aleurone layer	A group of cells rich in protein granules and located as the outer layer of the endosperm of many grain seeds.			FALSE	FALSE
BTO:0000058	BTO	alimentary canal	The mucous membrane-lined tube of the digestive system through which food passes, in which digestion takes place, and from which wastes are eliminated. It extends from the mouth to the anus and includes the pharynx, esophagus, stomach, and intestines.			TRUE	FALSE
BTO:0000059	BTO	renal epithelium				FALSE	FALSE
BTO:0000060	BTO	alveolus	A tiny, thin-walled, capillary-rich sac in the lungs where the exchange of oxygen and carbon dioxide takes place.			TRUE	FALSE
BTO:0000061	BTO	alveolar sac	Each large alveolar sac is like a grape cluster which contains ten or more alveoli.			FALSE	FALSE
BTO:0000062	BTO	amastigote	Any of the bodies representing the morphologic (leishmanial) stage in the life cycle of all trypanosomatid protozoa resembling the typical adult form of members of the genus Leishmania, in which the oval or round cell has a nucleus, kinetoplast, and basal body but lacks a free-flowing flagellum, the flagellum being either very short or entirely absent.			TRUE	FALSE
BTO:0000063	BTO	culture condition:ammonium malate-grown cell				FALSE	FALSE
BTO:0000064	BTO	amniochorion	Pertaining to the amnion and chorion.			FALSE	FALSE
BTO:0000065	BTO	amnion	A thin, tough, membranous sac that encloses the embryo or fetus of a mammal, bird, or reptile. It is filled with a serous fluid in which the embryo is suspended.			FALSE	FALSE
BTO:0000066	BTO	amniocyte	A cell of fetal origin obtained in an amniotic fluid specimen.			FALSE	FALSE
BTO:0000067	BTO	kidney cell line				FALSE	FALSE
BTO:0000068	BTO	amniotic fluid	Fluid within the amniotic cavity produced by the amnion during the early embryonic period, and later by the lungs and kidneys; at first crystal clear, it later becomes cloudy. It protects the embryo and fetus from injury. The amount at term normally varies from 500 to 1500 mL.			TRUE	FALSE
BTO:0000069	BTO	WISH cell	Human amnion cell line with HeLa markers.			FALSE	FALSE
BTO:0000070	BTO	fungal cell line				FALSE	FALSE
BTO:0000071	BTO	amoebocyte	A cell (as a phagocyte) having amoeboid form or movements.			FALSE	FALSE
BTO:0000072	BTO	carpel	The female reproductive part of a flower, consisting of stigma, style, and ovary.			FALSE	FALSE
BTO:0000073	BTO	culture condition:aniline-grown cell				FALSE	FALSE
BTO:0000074	BTO	antenna	One of a pair of slender movable segmented sensory organs on the head of insects, myriapods, and crustaceans.			FALSE	FALSE
BTO:0000075	BTO	antennal gland	Excretory gland situated in the basal article of the antennal peduncle.			FALSE	FALSE
BTO:0000076	BTO	anterior midgut				FALSE	FALSE
BTO:0000077	BTO	posterior midgut				FALSE	FALSE
BTO:0000078	BTO	microglia	The small, non-neural, interstitial cells of mesodermal origin that form part of the supporting structure of the central nervous system. They are of various forms and may have slender branched processes. They are migratory and act as phagocytes to waste products of nerve tissue.			FALSE	FALSE
BTO:0000079	BTO	anther	The male reproductive organ enclosing and containing the pollen grains.			TRUE	FALSE
BTO:0000080	BTO	male reproductive gland				FALSE	FALSE
BTO:0000081	BTO	reproductive system	In women, the organs that are directly involved in producing eggs and in conceiving and carrying babies. In men, the organs directly involved in creating, storing, and delivering sperm to fertilize an egg.			TRUE	FALSE
BTO:0000082	BTO	male reproductive system	The internal and external reproductive organs in the male.			TRUE	FALSE
BTO:0000083	BTO	female reproductive system	The internal and external reproductive organs in the female.			TRUE	FALSE
BTO:0000084	BTO	vermiform appendix	A narrow blind tube usually about three or four inches (7.6 to 10.2 centimeters) long that extends from the cecum in the lower right-hand part of the abdomen, has much lymphoid wall tissue, normally communicates with the cavity of the cecum, and represents an atrophied terminal part of the cecum.			FALSE	FALSE
BTO:0000085	BTO	appressorium	The flattened thickened tip of a hyphal branch by which some parasitic fungi are attached to their host.			FALSE	FALSE
BTO:0000086	BTO	culture condition:arabinose-grown cell				FALSE	FALSE
BTO:0000087	BTO	arterial smooth muscle				FALSE	FALSE
BTO:0000088	BTO	cardiovascular system	The system of heart and blood vessels.			TRUE	FALSE
BTO:0000089	BTO	blood	1: The fluid that circulates in the heart, arteries, capillaries, and veins of a vertebrate animal carrying nourishment and oxygen to and bringing away waste products from all parts of the body. 2: A comparable fluid of an invertebrate.			TRUE	FALSE
BTO:0000090	BTO	ascidian	Any of a class (Ascidiacea) of solitary or colonial sessile tunicates that have an oral and an atrial siphon.			TRUE	FALSE
BTO:0000091	BTO	ascites	Accumulation of serous fluid in the spaces between tissues and organs in the cavity of the abdomen.			TRUE	FALSE
BTO:0000092	BTO	trypanosomoid form	Any of a genus (Trypanosoma) of parasitic flagellate protozoans that infest the blood of various vertebrates including humans, are usually transmitted by the bite of an insect, and include some that cause serious disease (as sleeping sickness).			FALSE	FALSE
BTO:0000093	BTO	MCF-7 cell	Human breast adenocarcinoma, established from the pleural effusion of a 69-year-old caucasian woman with metastatic mammary carcinoma (after radio- and hormone therapy) in 1970. Cells were described of being positive for cytoplasmic estrogen receptors and having the capability to form domes.			FALSE	FALSE
BTO:0000094	BTO	ascites tumor cell				FALSE	FALSE
BTO:0000095	BTO	F-9 cell	Mouse embryonal carcinoma, initiated from a testicular teratocarcinoma of a strain 129 mouse.			FALSE	FALSE
BTO:0000096	BTO	urinary bladder cell line				FALSE	FALSE
BTO:0000097	BTO	ascospore	Any of the spores contained in an ascus.			FALSE	FALSE
BTO:0000098	BTO	astroblast	An embryonic astrocyte.			FALSE	FALSE
BTO:0000099	BTO	astrocyte	A star-shaped cell, especially a neuroglial cell of nervous tissue.			FALSE	FALSE
BTO:0000100	BTO	astrocytoma cell	A tumor cell composed of astrocytes; it is the most common type of primary brain tumor and is also found throughout the central nervous system. One classification groups astrocytomas according to their histologic appearance and distinguishes pilocytic, protoplasmic, gemistocytic, and fibrillary types. Another classification groups them in order of increasing malignancy as Grade I, Grade II, Grade III, and Grade IV types.			FALSE	FALSE
BTO:0000101	BTO	astrocytoma cell line				FALSE	FALSE
BTO:0000102	BTO	blood clot	A semisolid gelatinous mass of coagulated blood that consists of red blood cells, white blood cells, and platelets entrapped in a fibrin network.			FALSE	FALSE
BTO:0000103	BTO	Colon 26-L5 cell	Murine cancer cell line.			FALSE	FALSE
BTO:0000104	BTO	lymphoma cell line	Lymphoma means any neoplastic disorder of the lymphoid tissue.			FALSE	FALSE
BTO:0000105	BTO	upper epidermis	The epidermal layer directed towards the axis.			FALSE	FALSE
BTO:0000106	BTO	cranial ganglion				FALSE	FALSE
BTO:0000107	BTO	B95-8 cell	Marmoset monkey lymphocytes, established from peripheral blood lymphocytes of a marmoset monkey (saguinus oedipus); cells were described to release high titers of Epstein-Barr virus (EBV) providing a source for transformation of B cells and establishment of continuous cell lines; this cell line has been assigned by the ZKBS (German Central Commission for Biological Safety) to risk group 2.			FALSE	FALSE
BTO:0000108	BTO	olfactory epithelium	Pseudostratified epithelium lining the olfactory region of the nasal cavity, and containing the receptors for the sense of smell.			FALSE	FALSE
BTO:0000109	BTO	bacteroid	An irregularly shaped bacterium (as a rhizobium) found especially in root nodules of legumes.			TRUE	FALSE
BTO:0000110	BTO	amniotic cell line				FALSE	FALSE
BTO:0000111	BTO	BALB/3T12-3 cell	Derived from a 14-17 day old BALB/c mouse embryo. The cells are tumorigenic, are insensitive to contact inhibition and are susceptible to transformation with SV40 virus.			FALSE	FALSE
BTO:0000112	BTO	sieve cell	The phloem conducting cell in nonangiosperms; they are long and tapered with small sieve areas over much of their surfaces.			FALSE	FALSE
BTO:0000113	BTO	cervical ganglion	Any of three sympathetic ganglia on each side of the neck.			FALSE	FALSE
BTO:0000114	BTO	basidiocarp	The large fruiting body characteristic of the majority of fungi of the subphylum Basidiomycotina; it is composed of masses of intertwined hyphal elements and produces basidia. Mushrooms and toadstools are common examples.			FALSE	FALSE
BTO:0000115	BTO	BC3H1 cell	Mouse brain tumor cell line. Established from a mouse tumor induced by nitrosoethylurea with properties characteristic of muscle; cells were described to synthesize adenylate and creatine phosphokinases.			FALSE	FALSE
BTO:0000116	BTO	plant epidermis	A thin surface layer of tissue in higher plants formed by growth of a primary meristem.			FALSE	FALSE
BTO:0000117	BTO	culture condition:benzoate-grown cell				FALSE	FALSE
BTO:0000118	BTO	culture condition:benzoylformate-grown cell				FALSE	FALSE
BTO:0000119	BTO	berry	A simple fruit (as a currant, grape, tomato, or banana) with a pulpy or fleshy pericarp.			FALSE	FALSE
BTO:0000120	BTO	BHK-21 cell	Syrian hamster kidney BHK-21 is a subclone (clone 13) of the parental line established from the kidneys of five unsexed, one-day-old hamsters in 1961; cells can be used for virus replication studies.			TRUE	FALSE
BTO:0000121	BTO	bile	A fluid secreted by the liver and poured into the small intestine via the bile ducts. Important constituents are conjugated bile salts, cholesterol, phospholipid, bilirubin diglucuronide, and electrolytes. Bile is alkaline due to its bicarbonate content, is golden brown to greenish yellow in color, and has a bitter taste. Bile secreted by the liver is concentrated in the gallbladder.			TRUE	FALSE
BTO:0000122	BTO	bile duct	Any of the ducts that convey bile in and from the liver.			TRUE	FALSE
BTO:0000123	BTO	bladder	A membranous sac in animals that serves as the receptacle of a liquid or contains gas.			TRUE	FALSE
BTO:0000124	BTO	microspore	Haploid cells produced by meiosis in the anthers of angiosperms; four microspores are produced from a single microsporocyte.			FALSE	FALSE
BTO:0000125	BTO	blast cell	In the monophyletic theory, the least differentiated, totipotential blood cell without commitment as to its particular series, from which all blood cells are derived, preceding a stem cell.			TRUE	FALSE
BTO:0000126	BTO	blastoderm	The mass of cells produced by cleavage of a fertilized ovum, forming the hollow sphere of the blastula, or the cellular cap above a floor of segmented yolk in the discoblastula of telolecithal eggs.			FALSE	FALSE
BTO:0000127	BTO	blastospore	A fungal spore produced by budding.			FALSE	FALSE
BTO:0000128	BTO	blastula	The usually spherical structure produced by cleavage of a zygote, consisting of a single layer of cells (blastoderm) surrounding a fluid-filled cavity (blastocoele).			FALSE	FALSE
BTO:0000129	BTO	basophil	Mammalian granulocyte with large heterochromatic basophilic granules that contain histamine bound to a protein and heparin-like mucopolysaccharide matrix. They are not phagocytic. Very similar to mast cells though it is not clear whether they have common lineage.			FALSE	FALSE
BTO:0000130	BTO	neutrophil	A granulocyte that is the chief phagocytic white blood cell of the blood.			TRUE	FALSE
BTO:0000131	BTO	blood plasma	The fluid portion of the blood in which the particulate components are suspended.			TRUE	FALSE
BTO:0000132	BTO	blood platelet	A minute, nonnucleated, disklike cytoplasmic body found in the blood plasma of mammals that is derived from a megakaryocyte and functions to promote blood clotting.			FALSE	FALSE
BTO:0000133	BTO	blood serum	The cell-free portion of the blood from which the fibrinogen has been separated in the process of clotting.			FALSE	FALSE
BTO:0000134	BTO	bloodstream form	When living in the mammalian bloodstream T. brucei has neither a functional Krebs cycle nor oxidative phosphorylation nor does it store any carbohydrates. In the bloodstream form. Its metabolism is restricted to the glycolytic pathway alone.			FALSE	FALSE
BTO:0000135	BTO	aorta	The great arterial trunk that carries blood from the heart to be distributed by branch arteries through the body.			FALSE	FALSE
BTO:0000136	BTO	bronchoalveolar system	System pertaining to a bronchus and alveoli.			FALSE	FALSE
BTO:0000137	BTO	pulmonary artery endothelium				FALSE	FALSE
BTO:0000138	BTO	midbrain	The middle of the three primary divisions of the developing vertebrate brain or the corresponding part of the adult brain.			TRUE	FALSE
BTO:0000139	BTO	body wall	The portion of an animal body that consists of ectoderm and mesoderm, forms the external body surface, and encloses the body cavity.			FALSE	FALSE
BTO:0000140	BTO	bone	The hard form of connective tissue that constitutes the majority of the skeleton of most vertebrates; it consists of an organic component (the cells and matrix) and an inorganic, or mineral, component; the matrix contains a framework of collagenous fibers and is impregnated with the mineral component, chiefly calcium phosphate (85 per cent) and calcium carbonate (10 per cent), which imparts the quality of rigidity to bone.			FALSE	FALSE
BTO:0000141	BTO	bone marrow	The soft, fatty, vascular tissue that fills most bone cavities and is the source of red blood cells and many white blood cells.			TRUE	FALSE
BTO:0000142	BTO	brain	1: The portion of the vertebrate central nervous system that constitutes the organ of thought and neural coordination, includes all the higher nervous centers receiving stimuli from the sense organs and interpreting and correlating them to formulate the motor impulses, is made up of neurons and supporting and nutritive structures, is enclosed within the skull, and is continuous with the spinal cord through the foramen magnum. Also named encephalon. 2: A nervous center in invertebrates comparable in position and function to the vertebrate brain.			TRUE	FALSE
BTO:0000143	BTO	substantia nigra	The substantia nigra is located in the mesencephalon (mid brain) region of the brain. It is part of the basal ganglia.			FALSE	FALSE
BTO:0000144	BTO	meninx	Any of the three membranes that envelop the brain and spinal cord.			TRUE	FALSE
BTO:0000145	BTO	brain myelin				FALSE	FALSE
BTO:0000146	BTO	brain stem	The part of the brain composed of the mesencephalon, pons, and medulla oblongata and connecting the spinal cord with the forebrain and cerebrum.			TRUE	FALSE
BTO:0000147	BTO	microgametophyte	A plant body or cell lineage, formed by vegetative growth of the microspore, that produces the male gametes of a heterosporous plant.			FALSE	FALSE
BTO:0000148	BTO	branch	A natural subdivision of a plant stem; especially: a secondary shoot or stem (as a bough) arising from a main axis (as of a tree).			FALSE	FALSE
BTO:0000149	BTO	breast	The fore or ventral part of the body between the neck and the abdomen.			TRUE	FALSE
BTO:0000150	BTO	breast cancer cell	Breast cancer is an uncontrolled growth of malignant breast tissue. Most breast cancers begin in the milk ducts: these are called intraductal cancers. A few, like lobular cancer, start in the milk sacs or lobes.			FALSE	FALSE
BTO:0000151	BTO	extensor	A muscle that, upon contraction, tends to straighten a limb. The antagonist of a flexor muscle.			FALSE	FALSE
BTO:0000152	BTO	infected cell				FALSE	FALSE
BTO:0000153	BTO	Walker carcinoma 256 cell	A cell of a transplantable carcinoma of the rat that originally appeared spontaneously in the mammary gland of a pregnant albino rat, and which now resembles a carcinoma in young transplants and a sarcoma in older transplants.			FALSE	FALSE
BTO:0000154	BTO	BRL-3A cell	Rat liver cell line. Established from the buffalo strain of rattus norvegicus.			FALSE	FALSE
BTO:0000155	BTO	bronchoalveolar lavage fluid	A technique by which cells and fluid from bronchioles and lung alveoli are removed for diagnosis of disease or evaluation of treatment. A bronchoscope is wedged into a bronchus and sterile saline is pumped in and then removed along with the fluid and cells to be analyzed.			TRUE	FALSE
BTO:0000156	BTO	brown adipose tissue	A mammalian heat-producing tissue occurring especially in human newborns and in hibernators.			FALSE	FALSE
BTO:0000157	BTO	aorta thoracica	Thoracic part of aorta: the proximal portion of the descending aorta, which proceeds from the arch of the aorta and gives rise to the bronchial, esophageal, pericardiac, and mediastinal branches, and the superior phrenic, posterior intercostal III to XI, and subcostal arteries; it is continuous through the diaphragm with the abdominal aorta.			FALSE	FALSE
BTO:0000158	BTO	plant bud	A small lateral or terminal protuberance on the stem of a plant that may develop into a flower, leaf, or shoot.			FALSE	FALSE
BTO:0000159	BTO	bulb	A resting stage of a plant (as the lily, onion, hyacinth, or tulip) that is usually formed underground and consists of a short stem base bearing one or more buds enclosed in overlapping membranous or fleshy leaves.			TRUE	FALSE
BTO:0000160	BTO	bundle sheath	Sheath of parenchyma or sclerenchyma cells surrounding the vascular bundles in leaves.			FALSE	FALSE
BTO:0000161	BTO	lung fibroblast cell line				FALSE	FALSE
BTO:0000162	BTO	culture condition:butyrate-grown cell				FALSE	FALSE
BTO:0000163	BTO	corolla	Collective term for the petals of a flower.			FALSE	FALSE
BTO:0000164	BTO	Burkitt lymphoma cell	Malignant tumour cell of lymphoblasts derived from B-lymphocytes. Most commonly affects children in tropical Africa: both Epstein-Barr virus and immunosuppression due to malarial infection are involved.			FALSE	FALSE
BTO:0000165	BTO	C2C12 cell	This is a subclone of the mouse myoblast cell line. The C2C12 cell line differentiates rapidly, forming contractile myotubes and producing characteristic muscle proteins. Treatment with bone morphogenic protein 2 (BMP-2) cause a shift in the differentiation pathway from myoblastic to osteoblastic.			FALSE	FALSE
BTO:0000166	BTO	cecum	The first part of the large intestine, forming a dilated pouch into which open the ileum, colon, and appendix vermiformis.			TRUE	FALSE
BTO:0000167	BTO	adenocarcinoma cell line				FALSE	FALSE
BTO:0000168	BTO	carotid artery	A key artery located in the front of the neck that carries blood from the heart to the brain. Cholesterol plaques on the inner wall of the carotid artery can lead to stroke.			FALSE	FALSE
BTO:0000169	BTO	calyx	The usually green outer whorl of a flower consisting of sepals.			FALSE	FALSE
BTO:0000170	BTO	cambium	A thin formative layer between the xylem and phloem of most vascular plants that gives rise to new cells and is responsible for secondary growth; A lateral meristem in vascular plants, including the vascular cambium and cork cambium, that forms parallel rows of cells resulting in secondary tissues.			FALSE	FALSE
BTO:0000171	BTO	NCI-H226Br cell	The H226Br cell line is a variant of the NCI-H226 cell line derived from a brain metastasis in a nu/nu mouse.			FALSE	FALSE
BTO:0000172	BTO	pileus	The convex, concave, or flattened spore-bearing structure of some basidiomycetes that is attached superiorly to the stem and typically is expanded with gills or pores on the underside.			FALSE	FALSE
BTO:0000173	BTO	fruit capsule	A simple fruit that develops from a compound ovary with two or more carpels; capsules dehisce in many ways, example: cotton.			FALSE	FALSE
BTO:0000174	BTO	embryonic structure	An anatomical structure that exists only before the organism is fully formed. In mammals, for example, a structure that exists only prior to the birth of the organism. This structure may be normal or abnormal.			FALSE	FALSE
BTO:0000175	BTO	epithalamus	The caudal part of the roof and the adjoining lateral walls of the third ventricle of the diencephalon, comprising the habenular nuclei and their commissure, pineal body, and commissure of the epithalamus.			FALSE	FALSE
BTO:0000176	BTO	carcinoma cell	A cell of malignant new growth made up of epithelial cells tending to infiltrate the surrounding tissues and give rise to metastases.			TRUE	FALSE
BTO:0000177	BTO	BG-1 cell	Ovarian adenocarcinoma cell line.			FALSE	FALSE
BTO:0000178	BTO	adenoma cell	A benign epithelial tumor cell in which the cells form recognizable glandular structures or in which the cells are clearly derived from glandular epithelium.			FALSE	FALSE
BTO:0000179	BTO	Colo-205 cell	Human Caucasian colon adenocarcinoma cell line. Isolated from ascitic fluid of a 70-year-old Caucasian male with carcinoma of the colon.			FALSE	FALSE
BTO:0000180	BTO	cervical carcinoma cell	A cancer cell of the uterine cervix (the neck of the uterus).			FALSE	FALSE
BTO:0000181	BTO	Lewis lung carcinoma cell line	A carcinoma discovered by Dr. Margaret R. Lewis of the Wistar Institute in 1951. This Tumor originated spontaneously as a carcinoma of the lung of a C57BL Mouse. It is also called 3LL and LLC and is used as a transplantable malignancy.			FALSE	FALSE
BTO:0000182	BTO	HT-29 cell	Human colon adenocarcinoma, established from the primary tumor of a 44-year-old Caucasian woman with colon adenocarcinoma in 1964; described to be heterotransplantable forming well-differentiated grade I tumors.			TRUE	FALSE
BTO:0000183	BTO	pancreatic cell line				FALSE	FALSE
BTO:0000184	BTO	medullary thyroid carcinoma cell	A cell ot a type of thyroid gland carcinoma that contains amyloid deposits and parafollicular cells and secretes calcitonin. It occurs in both an autosomal dominant form as a component of multiple endocrine neoplasia, types II and III, and in a nonfamilial form.			FALSE	FALSE
BTO:0000185	BTO	medullary breast carcinoma cell	A cell of a rare type of breast cancer that often can be treated successfully. It is marked by lymphocytes (a type of white blood cell) in and around the tumor that can be seen when viewed under a microscope.			FALSE	FALSE
BTO:0000186	BTO	lobular carcinoma cell	A cell of an infiltrating (invasive) breast cancer, relatively uncommon, accounting for only 5%-10% of breast tumours in most series. It is often an area of ill-defined thickening in the breast, in contrast to the dominant lump characteristic of ductal carcinoma. It is typically composed of small cells in a linear arrangement with a tendency to grow around ducts and lobules. There is likelihood of axillary nodal involvement with metastasis to meningeal and serosal surfaces.			FALSE	FALSE
BTO:0000187	BTO	myeloblast	A large mononuclear nongranular bone-marrow cell; especially: one that is a precursor of a myelocyte.			FALSE	FALSE
BTO:0000188	BTO	colonic cell line				FALSE	FALSE
