identifier	decision	object_id	object_label	grounding_status	curator	date	notes	review_depth	category	relation
habitatmech:BACDIVE.1f236a4c29	REVIEW				claude-opus-5	2026-08-13	Multi-source review pass: this record is attested by more than one independent vocabulary, and this source's label or path was read against the record's ontology term to check the merge is right. It agrees. Source concepts in the same pass whose labels did not agree were re-decided rather than endorsed; see the pass's other decisions of the same date.	ITEM		
habitatmech:BACDIVE.25af5eede6	GROUND_AS_PARENT	UBERON:0007365	rumen	NARROW	claude-opus-5	2026-08-13	Rumen fluid, held in the rumen; ENVO:02000140 fluid environmental material is too generic to be useful.	ITEM		
habitatmech:BACDIVE.278819888e	REVIEW				claude-opus-5	2026-08-13	Multi-source review pass: this record is attested by more than one independent vocabulary, and this source's label or path was read against the record's ontology term to check the merge is right. It agrees. Source concepts in the same pass whose labels did not agree were re-decided rather than endorsed; see the pass's other decisions of the same date.	ITEM		
habitatmech:BACDIVE.2d8f4041ed	REVIEW				claude-opus-5	2026-08-13	Multi-source review pass: this record is attested by more than one independent vocabulary, and this source's label or path was read against the record's ontology term to check the merge is right. It agrees. Source concepts in the same pass whose labels did not agree were re-decided rather than endorsed; see the pass's other decisions of the same date.	ITEM		
habitatmech:BACDIVE.2f22b1d05b	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	Class-level sweep (see docs/HARMONIZATION.md#class-level-sweep): no term in the vendored slice matched this label by any search route. Whether the concept is a habitat at all was NOT assessed, so this is not yet a term-request candidate.	CLASS		
habitatmech:BACDIVE.3192a0f47e	CONFIRM_UNGROUNDED	ENVO:01001001	plant-associated environment		claude-opus-5	2026-08-12	A tree as host. No tree-associated environment term exists; BTO:0005516 wood is the material, not the living host. Parented to plant-associated environment as the nearest broader term. ENVO term request.	ITEM		
habitatmech:BACDIVE.36df85e4a4	GROUND_AS_PARENT	ENVO:00002264	waste material	BROAD	claude-opus-5	2026-08-16	Term-request re-check (#12), after ENVO:01001000 showed these claims were never machine-rechecked: 'Waste' spans solid, liquid and industrial waste. ENVO:00002264 'waste material' — 'a material which is not the desired output of a process' — is broader than all three, so it is the parent that covers the bin without grounding it to any one member.	ITEM		
habitatmech:BACDIVE.3abed720b8	NOT_APPLICABLE				claude-opus-5	2026-08-12	A vegetation adaptation descriptor, not a habitat. Path: Xerophytic	ITEM		
habitatmech:BACDIVE.3e4680f074	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	Class-level sweep (see docs/HARMONIZATION.md#class-level-sweep): no term in the vendored slice matched this label by any search route. Whether the concept is a habitat at all was NOT assessed, so this is not yet a term-request candidate.	CLASS		
habitatmech:BACDIVE.3edb563d49	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	Class-level sweep (see docs/HARMONIZATION.md#class-level-sweep): no term in the vendored slice matched this label by any search route. Whether the concept is a habitat at all was NOT assessed, so this is not yet a term-request candidate.	CLASS		
habitatmech:BACDIVE.407144fe70	REVIEW				claude-opus-5	2026-08-13	Multi-source review pass: this record is attested by more than one independent vocabulary, and this source's label or path was read against the record's ontology term to check the merge is right. It agrees. Source concepts in the same pass whose labels did not agree were re-decided rather than endorsed; see the pass's other decisions of the same date.	ITEM		
habitatmech:BACDIVE.4128fdb9f3	GROUND	BTO:0000476	foot	EXACT	claude-opus-5	2026-08-12	Leaf label equals the BTO label exactly and no other source concept claims it. Path: Foot	ITEM		
habitatmech:BACDIVE.499e641dc2	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	Class-level sweep (see docs/HARMONIZATION.md#class-level-sweep): no term in the vendored slice matched this label by any search route. Whether the concept is a habitat at all was NOT assessed, so this is not yet a term-request candidate.	CLASS		
habitatmech:BACDIVE.4c48b5114d	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	Class-level sweep (see docs/HARMONIZATION.md#class-level-sweep): no term in the vendored slice matched this label by any search route. Whether the concept is a habitat at all was NOT assessed, so this is not yet a term-request candidate.	CLASS		
habitatmech:BACDIVE.4ce1db038f	REVIEW				claude-opus-5	2026-08-13	Multi-source review pass: this record is attested by more than one independent vocabulary, and this source's label or path was read against the record's ontology term to check the merge is right. It agrees. Source concepts in the same pass whose labels did not agree were re-decided rather than endorsed; see the pass's other decisions of the same date.	ITEM		
habitatmech:BACDIVE.4d06ff4bb5	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	Class-level sweep (see docs/HARMONIZATION.md#class-level-sweep): no term in the vendored slice matched this label by any search route. Whether the concept is a habitat at all was NOT assessed, so this is not yet a term-request candidate.	CLASS		
habitatmech:BACDIVE.4e5b25adcb	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	Class-level sweep (see docs/HARMONIZATION.md#class-level-sweep): no term in the vendored slice matched this label by any search route. Whether the concept is a habitat at all was NOT assessed, so this is not yet a term-request candidate.	CLASS		
habitatmech:BACDIVE.5209e5b46e	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	Class-level sweep (see docs/HARMONIZATION.md#class-level-sweep): no term in the vendored slice matched this label by any search route. Whether the concept is a habitat at all was NOT assessed, so this is not yet a term-request candidate.	CLASS		
habitatmech:BACDIVE.54e1e95bea	REVIEW				claude-opus-5	2026-08-13	Multi-source review pass: this record is attested by more than one independent vocabulary, and this source's label or path was read against the record's ontology term to check the merge is right. It agrees. Source concepts in the same pass whose labels did not agree were re-decided rather than endorsed; see the pass's other decisions of the same date.	ITEM		
habitatmech:BACDIVE.556e1e04f8	GROUND	FOODON:00001258	food (fermented)	BROAD	claude-opus-5	2026-08-12	BacDive's Fermented bin covers all fermented matrices; the FOODON class is broader than any one. Path: Fermented	ITEM		
habitatmech:BACDIVE.5aa4da6419	GROUND	PO:0025034	leaf	BROAD	claude-opus-5	2026-08-12	BacDive's leaf/phyllosphere isolation source. BTO:0000713 leaf is broader than the phyllosphere proper (which is the surface), so BROAD rather than EXACT. Merges with the GOLD phylloplane paths. Re-grounded from BTO:0000713 to PO:0025034 now that PO is vendored (#10).	ITEM		
habitatmech:BACDIVE.5e52ea1bba	GROUND	ENVO:00002173	hospital	NARROW	claude-opus-5	2026-08-12	Medical-environment covers hospitals plus clinics and other care settings, so ENVO:00002173 hospital is narrower than the source concept. Best available; a generic healthcare-facility environment term would be better.	ITEM		
habitatmech:BACDIVE.5fa4710934	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	Class-level sweep (see docs/HARMONIZATION.md#class-level-sweep): no term in the vendored slice matched this label by any search route. Whether the concept is a habitat at all was NOT assessed, so this is not yet a term-request candidate.	CLASS		
habitatmech:BACDIVE.66ce48b936	GROUND_AS_PARENT	ENVO:00002264	waste material	NARROW	claude-opus-5	2026-08-13	Domestic waste has no ENVO term; recorded as a kind of waste material rather than merged with plant and animal waste.	ITEM		
habitatmech:BACDIVE.6827381c44	REVIEW				claude-opus-5	2026-08-13	Multi-source review pass: this record is attested by more than one independent vocabulary, and this source's label or path was read against the record's ontology term to check the merge is right. It agrees. Source concepts in the same pass whose labels did not agree were re-decided rather than endorsed; see the pass's other decisions of the same date.	ITEM		
habitatmech:BACDIVE.6911460a4a	NOT_APPLICABLE				claude-opus-5	2026-08-12	'Surface-swab' names a disease, an intervention, a sampling artefact or a no-value filler rather than a place. Pulled out of the class-level sweep and decided individually.	ITEM		
habitatmech:BACDIVE.693692f9f6	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	Class-level sweep (see docs/HARMONIZATION.md#class-level-sweep): no term in the vendored slice matched this label by any search route. Whether the concept is a habitat at all was NOT assessed, so this is not yet a term-request candidate.	CLASS		
habitatmech:BACDIVE.6946e653a5	REVIEW				claude-opus-5	2026-08-13	Multi-source review pass: this record is attested by more than one independent vocabulary, and this source's label or path was read against the record's ontology term to check the merge is right. It agrees. Source concepts in the same pass whose labels did not agree were re-decided rather than endorsed; see the pass's other decisions of the same date.	ITEM		
habitatmech:BACDIVE.6b8777930d	REVIEW				claude-opus-5	2026-08-13	Multi-source review pass: this record is attested by more than one independent vocabulary, and this source's label or path was read against the record's ontology term to check the merge is right. It agrees. Source concepts in the same pass whose labels did not agree were re-decided rather than endorsed; see the pass's other decisions of the same date.	ITEM		
habitatmech:BACDIVE.6d5784a4c5	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	Class-level sweep (see docs/HARMONIZATION.md#class-level-sweep): no term in the vendored slice matched this label by any search route. Whether the concept is a habitat at all was NOT assessed, so this is not yet a term-request candidate.	CLASS		
habitatmech:BACDIVE.6e0d8a73f2	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	Class-level sweep (see docs/HARMONIZATION.md#class-level-sweep): no term in the vendored slice matched this label by any search route. Whether the concept is a habitat at all was NOT assessed, so this is not yet a term-request candidate.	CLASS		
habitatmech:BACDIVE.6e3154acd8	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	Class-level sweep (see docs/HARMONIZATION.md#class-level-sweep): no term in the vendored slice matched this label by any search route. Whether the concept is a habitat at all was NOT assessed, so this is not yet a term-request candidate.	CLASS		
habitatmech:BACDIVE.75167cfd4a	REVIEW				claude-opus-5	2026-08-13	Multi-source review pass: this record is attested by more than one independent vocabulary, and this source's label or path was read against the record's ontology term to check the merge is right. It agrees. Source concepts in the same pass whose labels did not agree were re-decided rather than endorsed; see the pass's other decisions of the same date.	ITEM		
habitatmech:BACDIVE.76cd583094	REVIEW				claude-opus-5	2026-08-13	Multi-source review pass: this record is attested by more than one independent vocabulary, and this source's label or path was read against the record's ontology term to check the merge is right. It agrees. Source concepts in the same pass whose labels did not agree were re-decided rather than endorsed; see the pass's other decisions of the same date.	ITEM		
habitatmech:BACDIVE.7d4708950e	GROUND_AS_PARENT	ENVO:01000313	anthropogenic environment	BROAD	claude-opus-5	2026-08-16	Term-request re-check (#12), after ENVO:01001000 showed these claims were never machine-rechecked: 'Engineered' was left ungrounded for want of 'a single term for the whole class'. ENVO:01000313 'anthropogenic environment' — 'an environmental system which is the product of human activity' — covers it. It is attached as a parent rather than adopted because it is BROADER than the bin: an anthropised rice paddy is a product of human activity too and sits under BacDive's Environmental, not Engineered.	ITEM		
habitatmech:BACDIVE.7d840c7ddc	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	Class-level sweep (see docs/HARMONIZATION.md#class-level-sweep): no term in the vendored slice matched this label by any search route. Whether the concept is a habitat at all was NOT assessed, so this is not yet a term-request candidate.	CLASS		
habitatmech:BACDIVE.7ea89610a2	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	Class-level sweep (see docs/HARMONIZATION.md#class-level-sweep): no term in the vendored slice matched this label by any search route. Whether the concept is a habitat at all was NOT assessed, so this is not yet a term-request candidate.	CLASS		
habitatmech:BACDIVE.802a96c7ec	GROUND	ENVO:00002874	air conditioning unit	EXACT	claude-opus-5	2026-08-12	BacDive hyphenation of the same device. Path: Air-conditioner	ITEM		
habitatmech:BACDIVE.8086ba1250	GROUND_AS_PARENT	ENVO:00002264	waste material	NARROW	claude-opus-5	2026-08-13	Plant waste has no ENVO term; recorded as a kind of waste material rather than merged with animal and domestic waste under the generic class.	ITEM		
habitatmech:BACDIVE.8bf2766463	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	Class-level sweep (see docs/HARMONIZATION.md#class-level-sweep): no term in the vendored slice matched this label by any search route. Whether the concept is a habitat at all was NOT assessed, so this is not yet a term-request candidate.	CLASS		
habitatmech:BACDIVE.948d8cc566	REVIEW				claude-opus-5	2026-08-13	Multi-source review pass: this record is attested by more than one independent vocabulary, and this source's label or path was read against the record's ontology term to check the merge is right. It agrees. Source concepts in the same pass whose labels did not agree were re-decided rather than endorsed; see the pass's other decisions of the same date.	ITEM		
habitatmech:BACDIVE.995fbdda26	NOT_APPLICABLE				claude-opus-5	2026-08-12	Infection is a disease process, not a place. The habitat is whatever body site the infection occupies, which BacDive records separately.	ITEM		
habitatmech:BACDIVE.99663bb3ee	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	Class-level sweep (see docs/HARMONIZATION.md#class-level-sweep): no term in the vendored slice matched this label by any search route. Whether the concept is a habitat at all was NOT assessed, so this is not yet a term-request candidate.	CLASS		
habitatmech:BACDIVE.9ae6cfc178	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	Class-level sweep (see docs/HARMONIZATION.md#class-level-sweep): no term in the vendored slice matched this label by any search route. Whether the concept is a habitat at all was NOT assessed, so this is not yet a term-request candidate.	CLASS		
habitatmech:BACDIVE.9b21b7d13b	NOT_APPLICABLE				claude-opus-5	2026-08-12	Condition is a clinical state, not a location. Same reasoning as Infection and Disease.	ITEM		
habitatmech:BACDIVE.9c253e43c0	GROUND_AS_PARENT	ENVO:00003074	manufactured product	BROAD	claude-opus-5	2026-08-16	Term-request re-check (#12), after ENVO:01001000 showed these claims were never machine-rechecked: 'Engineered-product' spans manufactured goods of every kind. ENVO:00003074 'manufactured product' — 'a material entity that has been processed by humans or their technology in any way' — is broader than the bin and true of every member. The earlier note refused it as 'a material class rather than an environment', which is a reason not to adopt it as an identity and not a reason to drop the link.	ITEM		
habitatmech:BACDIVE.a0bdf011ac	NOT_APPLICABLE				claude-opus-5	2026-08-12	Cystic fibrosis is a disease, not a habitat. The habitat is the CF airway; the disease is host context and belongs on the taxon or the study rather than here.	ITEM		
habitatmech:BACDIVE.a2edc55556	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	Class-level sweep (see docs/HARMONIZATION.md#class-level-sweep): no term in the vendored slice matched this label by any search route. Whether the concept is a habitat at all was NOT assessed, so this is not yet a term-request candidate.	CLASS		
habitatmech:BACDIVE.a60a058479	GROUND_AS_PARENT	ENVO:01000313	anthropogenic environment	BROAD	claude-opus-5	2026-08-16	Term-request re-check (#12), after ENVO:01001000 showed these claims were never machine-rechecked: 'Industrial' spans process water, buildings and waste, so no specific industrial term fits. ENVO:01000313 'anthropogenic environment' is broader than all of them and true of each, so it is attached as a parent — which says what the bin has in common without misattributing any one member's setting to the rest.	ITEM		
habitatmech:BACDIVE.a862e7c17e	GROUND	ENVO:00002276	animal waste material	EXACT	claude-opus-5	2026-08-13	Solid animal waste is exactly ENVO's animal waste material; it was merged into the generic waste material class alongside plant and domestic waste.	ITEM		
habitatmech:BACDIVE.aabf4aeae4	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	Class-level sweep (see docs/HARMONIZATION.md#class-level-sweep): no term in the vendored slice matched this label by any search route. Whether the concept is a habitat at all was NOT assessed, so this is not yet a term-request candidate.	CLASS		
habitatmech:BACDIVE.b1af48ac7a	REVIEW				claude-opus-5	2026-08-13	Multi-source review pass: this record is attested by more than one independent vocabulary, and this source's label or path was read against the record's ontology term to check the merge is right. It agrees. Source concepts in the same pass whose labels did not agree were re-decided rather than endorsed; see the pass's other decisions of the same date.	ITEM		
habitatmech:BACDIVE.b415adf879	GROUND_AS_PARENT	ENVO:01000313	anthropogenic environment	BROAD	claude-opus-5	2026-08-16	Term-request re-check (#12), after ENVO:01001000 showed these claims were never machine-rechecked: 'Food-production' as a setting rather than a product. ENVO's food-production terms are specific monitoring zones and named facilities; the bin is broader than any of them and narrower than anthropogenic environment, which is therefore the honest parent.	ITEM		
habitatmech:BACDIVE.b61f30c070	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	Class-level sweep (see docs/HARMONIZATION.md#class-level-sweep): no term in the vendored slice matched this label by any search route. Whether the concept is a habitat at all was NOT assessed, so this is not yet a term-request candidate.	CLASS		
habitatmech:BACDIVE.b8fea19ee8	NOT_APPLICABLE				claude-opus-5	2026-08-12	Patient names the person a strain came from, not the habitat it lived in. The habitat is the body site, which BacDive records separately.	ITEM		
habitatmech:BACDIVE.baf38460e6	GROUND	ENVO:01001000	environmental system determined by an organism	EXACT	claude-opus-5	2026-08-16	"Term-request re-check (#12): this was recorded as an ENVO term request on the premise that ""ENVO has only plant-associated and animal-associated environment with no shared parent"". That premise is false. ENVO:01001000 'environmental system determined by an organism' is that shared parent — the vendored subclass edges show plant-associated (ENVO:01001001), animal-associated (ENVO:01001002) and fungi-associated (ENVO:01001041) environment all asserted under it — and it has been in the slice the whole time. Its definition, 'an environmental system which is determined by a living organism', is exactly what this top-level bin means: an isolate whose habitat is a living host. Grounded EXACT. The claim was made by hand and never machine-rechecked, which is the same staleness the class-level sweeps have a gate for and individually-decided records did not."	ITEM		
habitatmech:BACDIVE.bb97519ae8	NOT_APPLICABLE				claude-opus-5	2026-08-12	'Antibiotic-treatment' names a disease, an intervention, a sampling artefact or a no-value filler rather than a place. Pulled out of the class-level sweep and decided individually.	ITEM		
habitatmech:BACDIVE.bf10ea3ae4	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	"Generic ""Geologic"" bin spanning rock, sediment and subsurface. ENVO covers each specifically; nothing covers the bin without misattributing the rest."	ITEM		
habitatmech:BACDIVE.c659c7e939	NOT_APPLICABLE				claude-opus-5	2026-08-12	Disease is a pathological process, not a place. Same reasoning as Infection.	ITEM		
habitatmech:BACDIVE.c69e37289e	GROUND	BTO:0005516	wood	CLOSE	claude-opus-5	2026-08-12	Timber is processed wood. BTO:0005516 wood is the closest available material term; not exact because timber implies the worked product rather than the tissue.	ITEM		
habitatmech:BACDIVE.c94bf36c57	GROUND	UBERON:0002097	skin of body	BROAD	claude-opus-5	2026-08-13	BacDive lumps skin, nail and hair; it was merged onto skin epidermis, which is far narrower than the bin. Grounded to skin of body, which is still broader than the bin but does not claim the epidermis specifically.	ITEM		
habitatmech:BACDIVE.c9b246fcbb	SAME_AS	habitatmech:GOLD.cd0b0940e5	Mammals: Human		claude-opus-5	2026-08-17	Novel-concept merge (#116): BacDive's 'Human' and GOLD's 'Mammals: Human' are the same habitat — a human acting as host — and both are novel, so neither has an ontology term to merge on. Before SAME_AS they were two permanent records holding 40,432 and 11,697 assertions for one concept, published as two pages, and the largest habitat in the corpus appeared nowhere as such. Merged onto the GOLD identifier because it carries the larger attestation and the deeper path; the choice of which id survives is arbitrary between two minted ids and is recorded here rather than left to ordering. Both keep their attestations on the merged record, so no evidence is lost.	ITEM		
habitatmech:BACDIVE.cb34a860e6	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	Class-level sweep (see docs/HARMONIZATION.md#class-level-sweep): no term in the vendored slice matched this label by any search route. Whether the concept is a habitat at all was NOT assessed, so this is not yet a term-request candidate.	CLASS		
habitatmech:BACDIVE.cef5cdfe43	REVIEW				claude-opus-5	2026-08-13	Multi-source review pass: this record is attested by more than one independent vocabulary, and this source's label or path was read against the record's ontology term to check the merge is right. It agrees. Source concepts in the same pass whose labels did not agree were re-decided rather than endorsed; see the pass's other decisions of the same date.	ITEM		
habitatmech:BACDIVE.cf280d9e3d	GROUND	UBERON:0001988	feces	EXACT	claude-opus-5	2026-08-12	BacDive's Feces-Stool isolation source is exactly feces. Completes the feces record, whose other four attestations are already curated.	ITEM		
habitatmech:BACDIVE.d3209b6b2d	GROUND	ENVO:01001001	plant-associated environment	BROAD	claude-opus-5	2026-08-12	Herbaceous plants, grasses and crops as hosts. ENVO:01001001 covers all plant-associated environments and so is broader than this specific host group.	ITEM		
habitatmech:BACDIVE.d843032e51	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	Class-level sweep (see docs/HARMONIZATION.md#class-level-sweep): no term in the vendored slice matched this label by any search route. Whether the concept is a habitat at all was NOT assessed, so this is not yet a term-request candidate.	CLASS		
habitatmech:BACDIVE.db240195f6	NOT_APPLICABLE				claude-opus-5	2026-08-12	'Specimen' names a disease, an intervention, a sampling artefact or a no-value filler rather than a place. Pulled out of the class-level sweep and decided individually.	ITEM		
habitatmech:BACDIVE.dc19e85f65	REVIEW				claude-opus-5	2026-08-13	Multi-source review pass: this record is attested by more than one independent vocabulary, and this source's label or path was read against the record's ontology term to check the merge is right. It agrees. Source concepts in the same pass whose labels did not agree were re-decided rather than endorsed; see the pass's other decisions of the same date.	ITEM		
habitatmech:BACDIVE.ddf5f83abc	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	Class-level sweep (see docs/HARMONIZATION.md#class-level-sweep): no term in the vendored slice matched this label by any search route. Whether the concept is a habitat at all was NOT assessed, so this is not yet a term-request candidate.	CLASS		
habitatmech:BACDIVE.df2f59b773	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	Class-level sweep (see docs/HARMONIZATION.md#class-level-sweep): no term in the vendored slice matched this label by any search route. Whether the concept is a habitat at all was NOT assessed, so this is not yet a term-request candidate.	CLASS		
habitatmech:BACDIVE.e01be4868f	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	Class-level sweep (see docs/HARMONIZATION.md#class-level-sweep): no term in the vendored slice matched this label by any search route. Whether the concept is a habitat at all was NOT assessed, so this is not yet a term-request candidate.	CLASS		
habitatmech:BACDIVE.e3272331b8	NOT_APPLICABLE				claude-opus-5	2026-08-12	Names a clinical or process intervention, not a place. Path: Treatment	ITEM		
habitatmech:BACDIVE.e5d21f85b7	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	Class-level sweep (see docs/HARMONIZATION.md#class-level-sweep): no term in the vendored slice matched this label by any search route. Whether the concept is a habitat at all was NOT assessed, so this is not yet a term-request candidate.	CLASS		
habitatmech:BACDIVE.ebdac6db98	NOT_APPLICABLE				claude-opus-5	2026-08-12	A swab is a sampling device, not a habitat. The habitat is the surface that was swabbed, which BacDive records separately.	ITEM		
habitatmech:BACDIVE.ec17e237ad	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	Class-level sweep (see docs/HARMONIZATION.md#class-level-sweep): no term in the vendored slice matched this label by any search route. Whether the concept is a habitat at all was NOT assessed, so this is not yet a term-request candidate.	CLASS		
habitatmech:BACDIVE.efbaf083f7	REVIEW				claude-opus-5	2026-08-13	Multi-source review pass: this record is attested by more than one independent vocabulary, and this source's label or path was read against the record's ontology term to check the merge is right. It agrees. Source concepts in the same pass whose labels did not agree were re-decided rather than endorsed; see the pass's other decisions of the same date.	ITEM		
habitatmech:BACDIVE.f4971616a5	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	GOLD's plant context means a plant gall; the proposal offered bile material, which is a different thing entirely. No plant-gall term in the vendored slice. ENVO term request. Path: Gall	ITEM		
habitatmech:BACDIVE.f4eb470a03	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	Class-level sweep (see docs/HARMONIZATION.md#class-level-sweep): no term in the vendored slice matched this label by any search route. Whether the concept is a habitat at all was NOT assessed, so this is not yet a term-request candidate.	CLASS		
habitatmech:BACDIVE.f5201ef8d6	NOT_APPLICABLE				claude-opus-5	2026-08-12	An organism preference, not a habitat. Path: Xerophilic	ITEM		
habitatmech:BACDIVE.f655f51b59	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	Class-level sweep (see docs/HARMONIZATION.md#class-level-sweep): no term in the vendored slice matched this label by any search route. Whether the concept is a habitat at all was NOT assessed, so this is not yet a term-request candidate.	CLASS		
habitatmech:BACDIVE.fa04cf38bb	REVIEW				claude-opus-5	2026-08-13	Multi-source review pass: this record is attested by more than one independent vocabulary, and this source's label or path was read against the record's ontology term to check the merge is right. It agrees. Source concepts in the same pass whose labels did not agree were re-decided rather than endorsed; see the pass's other decisions of the same date.	ITEM		
habitatmech:BACDIVE.fb79ffe39f	NOT_APPLICABLE				claude-opus-5	2026-08-12	Biodegradation is a process, not a place. The habitat is the contaminated matrix in which it occurs.	ITEM		
habitatmech:BACDIVE.ff945d8a69	CONFIRM_UNGROUNDED				claude-opus-5	2026-08-12	Class-level sweep (see docs/HARMONIZATION.md#class-level-sweep): no term in the vendored slice matched this label by any search route. Whether the concept is a habitat at all was NOT assessed, so this is not yet a term-request candidate.	CLASS		
