identifier	requested_label	parent_class	parent_label	definition	exact_synonym	curator	date	notes	parent_mode
habitatmech:GOLD.6acc0797e9	mollusc-associated environment	ENVO:01001002	animal-associated environment	An animal-associated environment which is determined by a mollusc or by a part of a mollusc.	Mollusca	claude-opus-5	2026-08-17	Definition drafted from the record's deep-research report under research/habitats/ and read against it; the report's proposed wording, genus and near-miss table are the evidence. Host taxon freed from NOT_APPLICABLE by #114.	ADD
habitatmech:BACDIVE.a4a67c4a7f	bovine-associated environment	ENVO:01001002	animal-associated environment	An animal-associated environment which is determined by a bovine.	Bovinae-Cow,-Cattle	claude-opus-5	2026-08-17	Definition drafted from the record's deep-research report under research/habitats/ and read against it; the report's proposed wording, genus and near-miss table are the evidence. BacDive's cattle host category.	ADD
habitatmech:BACDIVE.3a13ee8a57	suid-associated environment	ENVO:01001002	animal-associated environment	An animal-associated environment which is determined by a suid.	Suidae-Pig,Swine	claude-opus-5	2026-08-17	Definition drafted from the record's deep-research report under research/habitats/ and read against it; the report's proposed wording, genus and near-miss table are the evidence. The report's proposed genus was 'mammal-associated environment', which does not exist and is itself requested in this batch; parented to animal-associated environment until it does. Its first-listed genus CURIE was ENVO:00003042 piggery, which is the farm building rather than the host, and is not what the definition says.	ADD
habitatmech:BACDIVE.4d3086a839	caprine-associated environment	ENVO:01001002	animal-associated environment	An animal-associated environment which is determined by a sheep or a goat.	Caprinae-Sheep/Goat	claude-opus-5	2026-08-17	Definition drafted from the record's deep-research report under research/habitats/ and read against it; the report's proposed wording, genus and near-miss table are the evidence. BacDive's label names both hosts and the mapping upstream dropped the sheep half, so the definition keeps both.	ADD
habitatmech:BACDIVE.09c3544e85	equid-associated environment	ENVO:01001002	animal-associated environment	An animal-associated environment which is determined by a horse or other equid.	Equidae-Horse	claude-opus-5	2026-08-17	Definition drafted from the record's deep-research report under research/habitats/ and read against it; the report's proposed wording, genus and near-miss table are the evidence. 	ADD
habitatmech:GOLD.6e10201167	annelid-associated environment	ENVO:01001002	animal-associated environment	An animal-associated environment which is determined by an annelid.	Annelida	claude-opus-5	2026-08-17	Definition drafted from the record's deep-research report under research/habitats/ and read against it; the report's proposed wording, genus and near-miss table are the evidence. 	ADD
habitatmech:GOLD.0cd585a031	amphibian-associated environment	ENVO:01001002	animal-associated environment	An animal-associated environment which is determined by an amphibian.	Amphibia	claude-opus-5	2026-08-17	Definition drafted from the record's deep-research report under research/habitats/ and read against it; the report's proposed wording, genus and near-miss table are the evidence. 	ADD
habitatmech:GOLD.78c645fff9	tunicate-associated environment	ENVO:01001002	animal-associated environment	An animal-associated environment which is determined by a tunicate or by a part of a tunicate.	Tunicates	claude-opus-5	2026-08-17	Definition drafted from the record's deep-research report under research/habitats/ and read against it; the report's proposed wording, genus and near-miss table are the evidence. 	ADD
habitatmech:GOLD.64acf9132c	sponge-associated environment	ENVO:01001176	environment associated with an aquatic invertebrate	An environment associated with an aquatic invertebrate which is determined by a sponge.	Porifera	claude-opus-5	2026-08-17	Definition drafted from the record's deep-research report under research/habitats/ and read against it; the report's proposed wording, genus and near-miss table are the evidence. Parented to the aquatic-invertebrate term rather than to animal-associated environment, which the report identified as the more specific existing genus.	ADD
habitatmech:GOLD.f3d8c3793f	protozoan-associated environment	ENVO:01001000	environmental system determined by an organism	An environmental system determined by an organism which is determined by a protozoan.	Protozoa	claude-opus-5	2026-08-17	Definition drafted from the record's deep-research report under research/habitats/ and read against it; the report's proposed wording, genus and near-miss table are the evidence. Parented to the organism root rather than the animal one: a protozoan is not an animal.	ADD
habitatmech:GOLD.02383c20a7	alga-associated environment	ENVO:01001000	environmental system determined by an organism	An environmental system determined by an organism which is determined by an alga or by a part of an alga.	Algae	claude-opus-5	2026-08-17	Definition drafted from the record's deep-research report under research/habitats/ and read against it; the report's proposed wording, genus and near-miss table are the evidence. Parented to the organism root rather than the plant one: algae are polyphyletic and not all of them are green plants.	ADD
habitatmech:BACDIVE.3d543e6b49	endothermic-animal-associated environment	ENVO:01001002	animal-associated environment	An animal-associated environment which is determined by an animal that maintains an elevated, metabolically generated core temperature.	host_animal_endotherm	claude-opus-5	2026-08-17	Definition drafted from the record's deep-research report under research/habitats/ and read against it. Madin splits its animal hosts by thermoregulation, which is a real physicochemical distinction for the resident community rather than a taxonomic one, so the differentia is endothermy and not a clade.	ADD
habitatmech:BACDIVE.e68bf42dcb	ectothermic-animal-associated environment	ENVO:01001002	animal-associated environment	An animal-associated environment which is determined by an animal whose body temperature tracks that of its surroundings.	host_animal_ectotherm	claude-opus-5	2026-08-17	Definition drafted from the record's deep-research report under research/habitats/ and read against it. The counterpart of the endotherm term in the same Madin split.	ADD
habitatmech:BACDIVE.3974b3f169	upper aerodigestive tract environment	ENVO:2100000	anatomical entity environment	An anatomical entity environment which is determined by the contiguous air- and saliva-exposed lumen extending from the oral cavity to the lower airways of a vertebrate.	Oral-cavity-and-airways	claude-opus-5	2026-08-17	Definition drafted from the record's deep-research report under research/habitats/ and read against it. BacDive's label names two sites and the upstream mapping to UBERON:0001005 'respiratory airway' covered only the airways half, dropping the oral cavity. The definition keeps the contiguous lumen both halves belong to.	ADD
habitatmech:BACDIVE.319ac5f8f8	internal tissue environment of an endothermic animal	ENVO:2100000	anatomical entity environment	An anatomical entity environment which is determined by an internal organ, solid tissue or enclosed fluid compartment of an endothermic animal, lying beneath its epithelial barriers.	host_animal_endotherm_intratissue	claude-opus-5	2026-08-17	Definition drafted from the record's deep-research report under research/habitats/ and read against it. Parented to the anatomical-entity root. The report's first-listed genus CURIE was ENVO:08000002 'mouth environment', which is one specific site rather than the class its own definition names.	ADD
habitatmech:BACDIVE.bf10ea3ae4	lithic environmental material	ENVO:01000814	solid environmental material	A solid environmental material which is a naturally occurring rock, mineral or evaporite deposit, or an excavation or void within one.	Geologic	claude-opus-5	2026-08-17	Definition drafted from the record's deep-research report under research/habitats/ and read against it. BacDive's Geologic bin spans rock, sediment and subsurface voids; the definition names what they have in common rather than picking one member.	ADD
habitatmech:GOLD.3e4ecbed63	brown-alga-associated environment	ENVO:01001000	environmental system determined by an organism	An environmental system determined by an organism which is determined by a brown alga.	Brown Algae	claude-opus-5	2026-08-17	Definition drafted from the record's deep-research report under research/habitats/ and read against it. Parented to the organism root rather than to alga-associated environment, which is requested in this same batch and does not exist yet; editors should re-parent it if both are minted. Not parented to plant-associated environment: brown algae are stramenopiles, not green plants.	ADD
habitatmech:BACDIVE.82dc7d11b9	leporid-associated environment	ENVO:01001002	animal-associated environment	An animal-associated environment which is determined by a rabbit or a hare.	Leporidae-Rabbit/Hare	claude-opus-5	2026-08-17	Definition drafted from the record's deep-research report under research/habitats/ and read against it. BacDive's label names both hosts, so the definition keeps both.	ADD
habitatmech:GOLD.44a2cbbd60	chelicerate-associated environment	ENVO:01001002	animal-associated environment	An animal-associated environment which is determined by a chelicerate or by a part of a chelicerate.	Arthropoda: Chelicerates	codex-gpt-5	2026-08-22	Definition curated from the committed deep-research report. Parented to animal-associated environment rather than the broader organism-determined root; the existing NCBITaxon:6656 reference is deliberately retained only as a broader taxonomic xref because it denotes all arthropods, not this habitat.	ADD
habitatmech:GOLD.184cc9e802	green-alga-associated environment	ENVO:01001001	plant-associated environment	A plant-associated environment which is determined by a green alga or by a part of a green alga.	Green algae	codex-gpt-5	2026-08-22	Definition curated from the committed deep-research report. Green algae are Viridiplantae, so plant-associated environment is the tightest existing ontology parent even though algae as a whole are polyphyletic; the GOLD hierarchy separately preserves alga-associated environment as the immediate HabitatMech parent, and the FOODON taxon term remains an xref.	ADD
habitatmech:GOLD.1cbfc76870	insect larva-associated environment	ENVO:01001002	animal-associated environment	An animal-associated environment which is determined by an insect in its larval stage.	Larva	codex-gpt-5	2026-08-22	Definition curated from the committed deep-research report. The GOLD path is specifically Arthropoda: Insects > Larva, so this is narrower than a general larva-associated environment; UBERON:0002548 remains an anatomy/life-stage xref rather than a habitat parent.	ADD
habitatmech:GOLD.34c28836da	ascidian-associated environment	ENVO:01001176	environment associated with an aquatic invertebrate	An environment associated with an aquatic invertebrate which is determined by an ascidian or by a part of an ascidian.	Ascidians|sea squirt-associated environment	codex-gpt-5	2026-08-22	Definition curated from the committed deep-research report. The aquatic-invertebrate class is a tighter existing genus than animal-associated environment; the GOLD Tunicates > Ascidians hierarchy preserves the broader tunicate-associated HabitatMech parent.	ADD
habitatmech:GOLD.e789c273d0	red-alga-associated environment	ENVO:01001000	environmental system determined by an organism	An environmental system determined by an organism which is determined by a red alga or by a part of a red alga.	Red algae	codex-gpt-5	2026-08-22	Definition curated from the committed deep-research report. Parented to the organism-determined root because red algae are not green plants; the GOLD hierarchy separately preserves alga-associated environment as the immediate HabitatMech parent, and the FOODON taxon term remains an xref.	ADD
habitatmech:GOLD.5e1a5d695c	lichen-associated environment	ENVO:01001041	fungi-associated environment	A fungi-associated environment which is determined by a lichen thallus.	Lichen	codex-gpt-5	2026-08-22	Definition curated from the committed deep-research report. GOLD files the composite lichen thallus under Fungi and the fungal partner supplies its nomenclatural identity, making fungi-associated environment the narrowest defensible existing genus; the FOODON organism term remains an xref.	ADD
habitatmech:BACDIVE.0f1e92a02c	free-living environment	ENVO:01000254	environmental system	An environmental system which is a portion of the air, water, or land surface or subsurface of an astronomical body sampled in place, and which is neither bounded by a host organism nor constituted by a constructed or operated artefact.	Environmental|non-host-associated environment	codex-gpt-5	2026-08-22	Definition curated from both committed deep-research reports after merging the BacDive and GOLD level-1 provenance bins in #179. Free-living is the positive-polarity name used by EMPO. Anthropisation is deliberately not excluded because GOLD includes managed and contaminated settings; ENVO:01000951 natural environment remains only a near-miss xref.	ADD
habitatmech:GOLD.1276bea544	diatom-associated environment	ENVO:01001000	environmental system determined by an organism	An environmental system determined by an organism which is determined by a diatom or by a part of a diatom.	Diatoms|diatom host environment	codex-gpt-5	2026-08-24	Definition curated from the committed alga-associated research report and cross-checked against its green- and brown-alga sibling reports. Diatoms are the 218-assertion GOLD child of Algae; ENVO has no diatom- or general alga-associated environment, plant-associated environment excludes Bacillariophyta, and the Bacillariophyta taxon remains an xref rather than a habitat identity. The GOLD hierarchy separately preserves alga-associated environment as the immediate HabitatMech parent.	ADD
habitatmech:GOLD.ce244e62cd	inland saline or alkaline aquatic environment	ENVO:01000317	aquatic environment	An aquatic environment which is determined by an inland water body whose water is substantially more saline than fresh water, substantially more alkaline than circumneutral water, or both.	Non-marine Saline and Alkaline|inland saline waters|saline inland waters|continental saline waters	codex-gpt-5	2026-08-25	Definition curated from the committed deep-research report for this record (#110, #185). The “or both” wording preserves GOLD's disjunctive hierarchy instead of claiming every child is simultaneously saline and alkaline. “Inland” is preferred to “non-marine” because marine-derived inland brines can remain geographically inland, while “athalassohaline” is not an exact synonym because it classifies water by ionic composition rather than location. Parent replacement is intentional: GOLD's inherited aquatic-biome edge is false for the node's operated-setting descendants, whereas ENVO's aquatic-environment genus covers both natural and engineered water-determined settings. Dropped the exact synonym 'Non-marine-Saline-and-Alkaline' (#213): it is BacDive's label for the concept GOLD spells 'Non-marine Saline and Alkaline', and the two differ only in punctuation. Both source labels survive on the record's source_attestations, where they identify which source said what; as a pair of EXACT synonyms they would read to an ENVO editor as the same string written twice. Found by the guard added for this issue, not by the review that filed it.	REPLACE
habitatmech:BACDIVE.33fde10528	canid-associated environment	ENVO:01001002	animal-associated environment	An animal-associated environment which is determined by a dog or other canid.	Canidae-Dog	claude-opus-5	2026-08-26	Definition follows the established <clade>-associated environment family for BacDive host buckets, whose naming rule the corpus already fixes: a -inae source label yields -ine (Bovinae-Cow,-Cattle -> bovine) and a -idae source label yields -id (Equidae-Horse -> equid, Leporidae-Rabbit/Hare -> leporid, Suidae-Pig,Swine -> suid). No deep-research run was commissioned: the genus, the wording pattern and the near-miss reasoning are already settled by those five siblings and by NCBITaxon, so a billed report would add nothing this slice turns on. Worded like the equid sibling because the source label names one vernacular host inside a wider family: NCBITaxon:9608 'Canidae' also covers foxes, wolves and jackals, so the definition must not silently narrow to the dog.	ADD
habitatmech:BACDIVE.e6b73de092	felid-associated environment	ENVO:01001002	animal-associated environment	An animal-associated environment which is determined by a cat or other felid.	Felidae-Cat	claude-opus-5	2026-08-26	Definition follows the established <clade>-associated environment family for BacDive host buckets, whose naming rule the corpus already fixes: a -inae source label yields -ine (Bovinae-Cow,-Cattle -> bovine) and a -idae source label yields -id (Equidae-Horse -> equid, Leporidae-Rabbit/Hare -> leporid, Suidae-Pig,Swine -> suid). No deep-research run was commissioned: the genus, the wording pattern and the near-miss reasoning are already settled by those five siblings and by NCBITaxon, so a billed report would add nothing this slice turns on. Worded like the equid sibling for the same reason as the canid row: NCBITaxon:9681 'Felidae' is wider than the domestic cat the source label names.	ADD
habitatmech:BACDIVE.ab17ecb10f	murid-associated environment	ENVO:01001002	animal-associated environment	An animal-associated environment which is determined by a mouse or a rat.	Muridae-Mouse/Rat	claude-opus-5	2026-08-26	Definition follows the established <clade>-associated environment family for BacDive host buckets, whose naming rule the corpus already fixes: a -inae source label yields -ine (Bovinae-Cow,-Cattle -> bovine) and a -idae source label yields -id (Equidae-Horse -> equid, Leporidae-Rabbit/Hare -> leporid, Suidae-Pig,Swine -> suid). No deep-research run was commissioned: the genus, the wording pattern and the near-miss reasoning are already settled by those five siblings and by NCBITaxon, so a billed report would add nothing this slice turns on. Worded like the leporid sibling because the source label names two vernacular hosts. Both are Muridae. This is also where the standing #43 finding is repaired in substance: the upstream xref NCBITaxon:10114 'Rattus' drops the mouse, and the definition does not.	ADD
habitatmech:GOLD.40979f5751	indoor air	ENVO:00002005	air	Air which is contained within the interior space of a building or other roofed construction, and which is thereby separated from the outdoor atmosphere by that structure's envelope.	room air|interior air	claude-opus-5	2026-08-28	Definition authored from the record's committed deep-research report under research/habitats/, read in full; the report's proposed sentence, genus and near-miss table are the evidence. No new research was commissioned. ENVO has no indoor-air term and three open issues ask for one (#858 2019, #980 2020, #1179 2021), one proposing the same containment differentia. The report asks for the indoor and outdoor pair together, which this and the outdoor-air row do. The genus is already the record's parent, so ADD. Dropped the exact synonym 'indoor-air' (#213): it is a URL slug differing from the source label only by case and a hyphen, not a name anyone uses, and an exact synonym is a claim about usage. Dropped the source label 'Indoor Air' from exact_synonym as well (#213): it differs from the requested label only in case, so as an ENVO synonym it asserts nothing, and the source label is already preserved in the record's source_attestations. Replaced with two names the report attests in real use - 'room air' (MIxS 'room air exchange rate') and 'interior air'.	ADD
habitatmech:GOLD.d263dfb09c	outdoor air	ENVO:00002005	air	Air which is not enclosed by a building envelope or other construction, and which is therefore in continuous exchange with the planetary atmosphere.	ambient air	claude-opus-5	2026-08-28	Definition authored from the record's committed deep-research report under research/habitats/, read in full; the report's proposed sentence, genus and near-miss table are the evidence. No new research was commissioned. The enclosure split is the primary partition of GOLD's whole Air branch and is written into US 40 CFR 50.1(e) and EU Directive 2008/50/EC. The report's public-access qualifier in those legal texts is regulatory scoping and is deliberately NOT imported: air over a fenced yard is still outdoor air. Requested as a pair with indoor air. Dropped the source label 'Outdoor Air' from exact_synonym (#213), on the same reasoning as the indoor-air row: case-only variants of the requested label are not synonyms. 'ambient air' is the attested one and is kept.	ADD
habitatmech:GOLD.0e7a5162bb	macroalgal bed	ENVO:01001378	marine bed	A marine bed which is covered by one or more species of attached macroalgae, typically belonging to the Phaeophyceae, Rhodophyta or Ulvophyceae.	Seaweed|seaweed bed|algal bed|seaweed forest	claude-opus-5	2026-08-28	Definition authored from the record's committed deep-research report under research/habitats/, read in full; the report's proposed sentence, genus and near-miss table are the evidence. No new research was commissioned. Labelled for the setting, not the organism: the report is explicit that 'Seaweed' names an organism, which FOODON:03412266 already does, while the concept here is a benthic place. Modelled on the sibling ENVO:01000059 'sea grass bed'. REPLACE because the inherited ENVO:00001999 'marine water body' is not broader - a bed underlies a water body rather than being a kind of one.	REPLACE
habitatmech:GOLD.398aeb6c37	indoor dust	ENVO:00002008	dust	A dust which settles and accumulates on interior surfaces of a built structure, and which is a heterogeneous mixture of particles shed by occupants, pets and furnishings, tracked-in soil, and deposited outdoor-derived particulate matter.	Dust|house dust|settled dust	claude-opus-5	2026-08-28	Definition authored from the record's committed deep-research report under research/habitats/, read in full; the report's proposed sentence, genus and near-miss table are the evidence. No new research was commissioned. Introduces a setting-based differentia under ENVO:00002008 'dust', where every existing child is differentiated by composition or source material. REPLACE because the inherited parent was the GOLD path parent habitatmech:GOLD.40979f5751 'Indoor Air', and dust is not a kind of air.	REPLACE
habitatmech:GOLD.b19422ad27	sea urchin-associated environment	ENVO:01001002	animal-associated environment	An animal-associated environment which is determined by a sea urchin, or by a part of a sea urchin.	Sea Urchin|echinoid-associated environment	claude-opus-5	2026-08-28	Definition authored from the record's committed deep-research report under research/habitats/, read in full; the report's proposed sentence, genus and near-miss table are the evidence. No new research was commissioned. Worded like the existing ENVO:01001179 'cnidarian-associated environment', which is ENVO's own precedent for a taxon-scoped associated-environment class. The report recommends ENVO:01001002 rather than the tighter ENVO:01001176; the Echinodermata GOLD parent is kept, so ADD.	ADD
habitatmech:GOLD.fd2443a2c3	oyster-associated environment	ENVO:01001176	environment associated with an aquatic invertebrate	An environment associated with an aquatic invertebrate which is determined by an oyster, or by a part of an oyster.	Oyster	claude-opus-5	2026-08-28	Definition authored from the record's committed deep-research report under research/habitats/, read in full; the report's proposed sentence, genus and near-miss table are the evidence. No new research was commissioned. NCBITaxon:6563 and FOODON:03411224 stay xrefs: the concept is the animal-as-place, not the taxon. The genus is one level tighter than animal-associated environment and has no children in ENVO yet.	ADD
habitatmech:GOLD.59e8d1205d	bivalve-associated environment	ENVO:01001176	environment associated with an aquatic invertebrate	An environment associated with an aquatic invertebrate which is determined by a bivalve mollusc, or by a part of a bivalve mollusc.	Bivalves	claude-opus-5	2026-08-28	Definition authored from the record's committed deep-research report under research/habitats/, read in full; the report's proposed sentence, genus and near-miss table are the evidence. No new research was commissioned. FOODON:03412113 'bivalve' is a food-product class rather than a host organism, so it is the wrong kind of term entirely and is not used. ADD keeps the GOLD parent and the already-present ENVO:01001002, of which the tighter genus is a descendant. Dropped the exact synonym 'Bivalvia-associated environment' (#213): it was coined at authoring time to mirror the requested label, is attested by no source and proposed by no report, and an exact synonym asserts that people actually use the name.	ADD
habitatmech:BACDIVE.15180e7ff9	aquatic mammal-associated environment	ENVO:01001002	animal-associated environment	An animal-associated environment which is determined by a mammal that inhabits water, or by a part of such a mammal.	Aquatic-mammal	claude-opus-5	2026-08-28	Definition authored from the record's committed deep-research report under research/habitats/, read in full; the report's proposed sentence, genus and near-miss table are the evidence. No new research was commissioned. Covers cetaceans, sirenians, pinnipeds and aquatic carnivorans, which is what the source bin holds. Same disposition already recorded for Fish, Birds, Mammals and Sponges.	ADD
habitatmech:BACDIVE.38260eea00	aquatic macrophyte-associated environment	ENVO:01001000	environmental system determined by an organism	An environmental system determined by an aquatic macrophyte, or by a part of an aquatic macrophyte.	Aquatic-plant	claude-opus-5	2026-08-28	Definition authored from the record's committed deep-research report under research/habitats/, read in full; the report's proposed sentence, genus and near-miss table are the evidence. No new research was commissioned. Genus is ENVO:01001000 rather than ENVO:01001001 'plant-associated environment' because aquatic macrophytes include macroalgae and aquatic bryophytes, which are not plants; the report is explicit on this. Labelled macrophyte rather than plant for the same reason.	ADD
habitatmech:GOLD.32330da5da	brown algal embryo	ENVO:01001000	environmental system determined by an organism	An environmental system determined by an organism which is a brown alga between fertilisation and the differentiated juvenile thallus, attached to a hard marine substratum by self-secreted adhesive.	Embryo|Phaeophyceae embryo	claude-opus-5	2026-08-31	Definition authored from the record's committed deep-research report under research/habitats/, read in full; the report's proposed sentence, genus and near-miss table are the evidence. No new research was commissioned. Labelled 'brown algal embryo' and not 'embryo' on the report's explicit instruction: the bare label must not be the definiendum, because in GOLD 'Embryo' is a reusable life-stage slot - the same thing MIxS models as host_life_stage - and two sibling nodes carry it under Red algae and under Fish. This is the #161 case where two records share a source label and are NOT the same concept: the differentia is already in the path, so each gets its own label and no shared-term mechanism is needed. Genus is ENVO:01001000 rather than the plant or animal branch because a brown alga is a stramenopile, neither plant nor animal; the report notes ENVO has no algae-associated environment class at all, which is the real gap here.	ADD
habitatmech:GOLD.9f162205a6	fish embryo-associated environment	ENVO:01001002	animal-associated environment	An animal-associated environment which is determined by a fertilised fish egg during development, comprising the chorion surface, the perivitelline space and the developing embryo within.	Embryo|fish egg-associated environment	claude-opus-5	2026-08-31	Definition authored from the record's committed deep-research report under research/habitats/, read in full; the report's proposed sentence, genus and near-miss table are the evidence. No new research was commissioned. Sibling of the brown algal embryo row and distinguished from it by label rather than by a shared term (#161). The whole-egg reading is the report's recommendation and the one the sampling literature uses - studies homogenise or swab the whole egg, not a dissected embryo. Stated rather than implied, as the report asks: upstream assertion volume in this corpus is 0. GOLD carries three ecosystem ids for the path but no organism reaches it, so the justification rests on external literature, not on attestation. UBERON:0000922 is the organism at a stage and stays an xref, never the identity (#99, #112).	ADD
